Inicio del informe,Fin del informe,Nombre de la campaña,Presupuesto del conjunto de anuncios,Tipo de presupuesto del conjunto de anuncios,Configuración de atribución,Resultados,Indicador de resultado,Alcance,Impresiones,Costo por resultados,Importe gastado (ARS),Finalización,CTR (todos),CVR
2024-03-26,2024-05-14,Campaña Consultoria Agro [Tráfico],Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,524,actions:link_click,59357,87147,81.015477,42452.11,En curso,0.612758,0.0
2024-03-26,2024-05-14,Campaña Consultoria Agro [Clientes potenciales],Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,3,actions:onsite_conversion.lead_grouped,1759,4390,15431.986667,46295.96,En curso,0.797267,0.001706
2024-03-26,2024-05-14,Consultoría Despachos prof - ES - IA (Fuengirola y Alrededores) Campaña,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,14,actions:onsite_conversion.lead_grouped,11491,21280,18017.572857,252246.02,En curso,0.681391,0.001218
